timestamp,actual_temperature,predicted_temperature,reason
2025-04-08 11:50:40,15.562,20.54710578918457,Single deviation > 3°C
2025-04-08 12:49:51,14.562,11.635817527770996,3+ consecutive deviations > 2°C
2025-04-08 13:22:50,12.75,16.196786880493164,Single deviation > 3°C
2025-04-08 14:02:18,15.875,20.69525146484375,Single deviation > 3°C
2025-04-08 14:49:30,13.375,18.237030029296875,Single deviation > 3°C
2025-04-08 15:34:45,14.312,20.013362884521484,Single deviation > 3°C
2025-04-08 16:21:02,15.062,20.58584213256836,Single deviation > 3°C
2025-04-08 17:06:22,15.562,20.614673614501953,Single deviation > 3°C
2025-04-08 17:54:10,17.437,20.675132751464844,Single deviation > 3°C
2025-04-08 18:04:09,11.187,8.091394424438477,Single deviation > 3°C
2025-04-08 18:39:10,12.25,16.085317611694336,Single deviation > 3°C
2025-04-08 18:48:12,11.062,7.7653584480285645,Single deviation > 3°C
2025-04-08 19:23:15,15.875,20.74639129638672,Single deviation > 3°C
2025-04-08 20:12:35,13.062,18.184104919433594,Single deviation > 3°C
2025-04-09 00:11:03,11.937,16.50320816040039,Single deviation > 3°C
2025-04-09 00:33:36,9.875,6.562313556671143,Single deviation > 3°C
2025-04-09 01:44:04,17.062,20.456493377685547,Single deviation > 3°C
2025-04-09 02:30:27,11.937,15.713560104370117,Single deviation > 3°C
2025-04-09 03:20:01,17.5,20.719697952270508,Single deviation > 3°C
2025-04-09 03:21:02,12.0,15.05479621887207,Single deviation > 3°C
2025-04-09 03:31:13,14.75,12.520315170288086,3+ consecutive deviations > 2°C
2025-04-09 04:15:32,17.187,20.806821823120117,Single deviation > 3°C
2025-04-09 04:16:34,11.562,14.920565605163574,Single deviation > 3°C
2025-04-09 05:13:08,13.437,19.641704559326172,Single deviation > 3°C
2025-04-09 06:11:10,15.187,20.8548641204834,Single deviation > 3°C
2025-04-09 07:13:00,13.687,20.096071243286133,Single deviation > 3°C
2025-04-09 07:23:30,14.75,12.444778442382812,3+ consecutive deviations > 2°C
2025-04-09 08:16:04,16.062,20.86292839050293,Single deviation > 3°C
2025-04-09 09:24:55,12.062,16.964353561401367,Single deviation > 3°C
2025-04-09 10:36:30,13.812,20.378145217895508,Single deviation > 3°C
2025-04-09 10:45:54,11.187,7.892587184906006,Single deviation > 3°C
2025-04-09 11:57:01,14.687,20.726089477539062,Single deviation > 3°C
2025-04-09 13:27:44,14.687,20.692041397094727,Single deviation > 3°C
2025-04-09 15:02:28,13.125,18.90163230895996,Single deviation > 3°C
2025-04-09 15:10:48,11.187,7.45025634765625,Single deviation > 3°C
2025-04-09 16:36:20,13.625,19.699073791503906,Single deviation > 3°C
2025-04-09 16:44:39,11.187,7.700856685638428,Single deviation > 3°C
2025-04-09 17:59:53,17.187,20.85495376586914,Single deviation > 3°C
2025-04-09 18:00:55,11.625,15.311172485351562,Single deviation > 3°C
2025-04-09 19:24:27,16.687,20.85422706604004,Single deviation > 3°C
2025-04-09 19:25:29,11.437,14.568861961364746,Single deviation > 3°C
2025-04-11 23:33:33,12.375,15.775435447692871,Single deviation > 3°C
2025-04-12 00:20:29,11.25,6.7218217849731445,Single deviation > 3°C
2025-04-12 00:21:31,14.625,11.46654987335205,Single deviation > 3°C
2025-04-12 00:41:04,13.75,17.83897590637207,Single deviation > 3°C
2025-04-12 01:20:03,14.687,19.948204040527344,Single deviation > 3°C
2025-04-12 01:58:16,15.875,20.626375198364258,Single deviation > 3°C
2025-04-12 02:40:36,12.5,16.01256561279297,Single deviation > 3°C
2025-04-12 02:50:46,11.062,7.538249969482422,Single deviation > 3°C
2025-04-12 03:21:38,17.312,20.740478515625,Single deviation > 3°C
2025-04-12 03:33:59,14.687,12.461578369140625,3+ consecutive deviations > 2°C
2025-04-12 04:06:56,14.437,20.036968231201172,Single deviation > 3°C
2025-04-12 05:40:24,13.562,18.791488647460938,Single deviation > 3°C
2025-04-12 06:30:34,15.875,20.367603302001953,Single deviation > 3°C
2025-04-12 07:23:57,16.312,20.744544982910156,Single deviation > 3°C
2025-04-12 08:18:30,12.062,16.13239860534668,Single deviation > 3°C
2025-04-12 08:29:45,14.625,12.211896896362305,3+ consecutive deviations > 2°C
2025-04-12 09:15:03,13.5,19.357620239257812,Single deviation > 3°C
2025-04-12 09:25:35,14.75,12.445743560791016,3+ consecutive deviations > 2°C
